exclusion_id,course_number
1,100
1,102
1,104
1,110
1,120
1,180
1,184
2,101
2,103
2,105
2,121
3,152
3,221
3,223
4,200
4,217
4,226
4,253
4,254
5,215
5,255
5,256
5,258
6,217
6,227
6,254
6,264
6,317
7,223
7,310
8,230
8,335
9,257
9,316
9,358
10,300
10,305
11,302
11,318
12,303
12,318
13,312
13,437
14,313
14,437
15,401
15,406
16,405
16,406
17,407
18,404
18,541
