course_number,r,theta,x,y
100,1.0,16,1.326794896677558e-06,0.9999999999991198
101,2.0,16,2.653589793355116e-06,1.9999999999982396
120,1.0,6,0.8314698887253485,0.555569819323419
121,2.0,6,1.662939777450697,1.111139638646838
200,3.0,11,1.4141926238677094,2.645762503059971
210,3.5,16,4.643782138371453e-06,3.4999999999969194
215,4.0,12,1.5307374068555482,3.695516606816042
220,3.0,24,-2.121316121719932,2.121324565390951
221,3.0,19,-0.8708495085858958,2.8708223792836267
223,3.0,0,3.0,0.0
226,3.0,6,2.4944096661760455,1.6667094579702568
227,4.0,7,3.092043286442528,2.5375713418080865
300,5.0,8,3.5355362513961315,3.535531560467788
301,6.0,9,3.8063631664696578,4.638059879404651
302,5.0,17,-0.49007868699035295,4.975924324239449
303,6.0,17,-0.5880944243884236,5.971109189087338
307,5.0,15,0.49009189105062684,4.975923023754127
308,5.0,28,-4.619393219797762,1.9134278875584694
309,5.0,27,-4.409601044523477,2.3569935570844196
310,5.0,26,-4.157342072340095,2.777860128507367
312,5.0,20,-1.9134095005812624,4.619400835940237
313,6.0,20,-2.296091400697515,5.543281003128285
316,5.0,11,2.3569877064461826,4.409604171766619
317,4.0,10,2.2222836900517406,3.325876606389663
320,5.0,6,4.157349443626742,2.777849096617095
321,6.0,6,4.988819332352091,3.3334189159405136
322,5.0,0,5.0,0.0
323,6.0,0,6.0,0.0
335,5.0,32,-4.999999999982396,1.3267948966763902e-05
340,5.0,19,-1.4514158476431596,4.784703965472711
341,5.0,22,-2.7778435806646256,4.157353129259088
342,5.0,24,-3.5355268695332196,3.5355409423182516
344,5.0,21,-2.3569760051572612,4.409610426229614
345,5.0,13,1.4514285442796564,4.784700113993586
360,5.0,30,-4.903923975330568,0.9754638097736055
361,5.0,14,0.9754573032714426,4.903925269566656
400,7.0,11,3.2997827890246554,6.173445840473266
401,8.0,11,3.771180330313892,7.0553666748265895
402,7.0,8,4.949750751954584,4.949744184654903
404,8.0,8,5.65685800223381,5.6568504967484605
405,7.0,12,2.678790461997209,6.467154061928073
412,7.0,2,6.865497189311757,1.3656311154745873
414,7.0,32,-6.999999999975355,1.8575128553469462e-05
418,7.0,7,5.411075751274423,4.440749848164152
419,8.0,7,6.184086572885056,5.075142683616173
420,7.0,6,5.82028922107744,3.8889887352639327
421,8.0,6,6.651759109802788,4.444558554587352
422,7.0,0,7.0,0.0
423,8.0,0,8.0,0.0
424,7.0,4,6.467157616127896,2.6787818814078452
425,8.0,4,7.391037275574738,3.061465007323252
426,7.0,5,6.173450218602796,3.2997745981253157
427,8.0,5,7.055371678403196,3.771170969286075
437,7.0,1,6.966293143601636,0.6861194046292896
440,7.0,9,4.440757027547934,5.411069859305425
441,7.0,19,-2.0319821867004233,6.698585551661796
442,7.0,22,-3.888981012930476,5.820294380962723
443,7.0,3,6.698582855632305,2.0319910743477587
444,7.0,25,-5.4110639673269,4.440764206923901
446,7.0,28,-6.467150507716866,2.678799042581857
450,8.0,10,4.444567380103481,6.651753212779326
462,7.0,14,1.3656402245800197,6.8654953773933185
406,8.0,12,3.0614748137110963,7.391033213632084
